[2026-09-08T08:15:56+00:00] monitor started: experiment=realworld-neuraldeep-qwen3827b-baseline-20260908 arms=baseline runs=1 jobs=1 rework_attempts=2
[2026-09-08T08:15:56+00:00] starting attempt 1 (fresh): /home/user/my/harness-benchmark/.venv/bin/python3 -m benchmark run-all --experiment-id realworld-neuraldeep-qwen3827b-baseline-20260908 --problem realworld --arms baseline --runs 1 --jobs 1 --agent opencode --provider opencode_auth --model qwen3.8-27b --thinking none
[2026-09-08T08:15:56+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: no state.json; experiment processes=1
[2026-09-08T11:44:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:45:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:46:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:47:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:48:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:49:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:50:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:51:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:52:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:53:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:54:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:55:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:56:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:57:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:58:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:59:02+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T11:59:16+00:00] attempt 4 ended with exit=0; 0/1 slots complete
[2026-09-08T11:59:16+00:00] restart limit reached (3); leaving incomplete results for manual triage
[2026-09-08T12:12:27+00:00] monitor started: experiment=realworld-neuraldeep-qwen3827b-baseline-20260908 arms=baseline runs=1 jobs=1 rework_attempts=2
[2026-09-08T12:12:28+00:00] starting attempt 1 (resume): /home/user/my/harness-benchmark/.venv/bin/python3 -m benchmark run-all --experiment-id realworld-neuraldeep-qwen3827b-baseline-20260908 --problem realworld --arms baseline --runs 1 --jobs 1 --resume
[2026-09-08T12:12:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=incomplete stop=interrupted; experiment processes=1
[2026-09-08T12:13:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:14:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:15:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:16:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:17:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:18:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:19:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:20:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:21:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:22:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:23:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:24:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:25:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:26:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:27:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:28:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:29:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:30:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:31:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:32:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:33:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:34:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:35:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:36:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:37:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:38:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:39:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:40:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:41:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:42:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:43:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:44:28+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:45:29+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:46:29+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:47:29+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:48:29+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:49:29+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
[2026-09-08T12:50:29+00:00] heartbeat: 0/1 slots complete; pending: baseline/run_1: phase=started stop=started; experiment processes=4
